"","X.1","Device_ID","Winter","PP_Shoot","Habitat","case_","ceh_broad","Case","weight","Used","weight2","gbg_dist_points"
"176",176,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,20.5853732725678
"177",177,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,150.229621166003
"178",178,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,181.403265007072
"179",179,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,133.898302647703
"180",180,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,250.250298272335
"181",181,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,202.793103146994
"182",182,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,100.454781873086
"183",183,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,143.879068576194
"184",184,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,171.100809463201
"185",185,"194248",2019,"post","11",TRUE,"bog",1,1,"Used",10,383.505362432558
"186",186,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,226.726269455793
"187",187,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,223.655719012126
"188",188,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,172.707471297264
"189",189,"194248",2019,"post","11",TRUE,"bog",1,1,"Used",10,405.634422200822
"190",190,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,316.626273989503
"191",191,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,312.979831397403
"192",192,"194248",2019,"post","11",TRUE,"bog",1,1,"Used",10,421.672000480431
"193",193,"194248",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,395.882576774749
"194",194,"194248",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,428.304257914049
"195",195,"194248",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,406.03627895996
"196",196,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,160.906309990489
"197",197,"194248",2019,"post","11",TRUE,"bog",1,1,"Used",10,393.445978179142
"198",198,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,183.100082030363
"199",199,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,175.78934405378
"200",200,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,180.325356774616
"201",201,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,256.265696177658
"202",202,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,266.198760220895
"203",203,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,291.855080328225
"204",204,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,235.196066831084
"205",205,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,167.798094006428
"206",206,"194248",2019,"post","18",TRUE,"saltmarsh_coastal",1,1,"Used",10,667.781304873873
"207",207,"194248",2019,"post","18",TRUE,"saltmarsh_coastal",1,1,"Used",10,797.005896399111
"208",208,"194248",2019,"post","18",TRUE,"saltmarsh_coastal",1,1,"Used",10,797.94873072677
"209",209,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,248.570904453505
"210",210,"194249",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,155.534512777499
"211",211,"194249",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,162.951725287533
"212",212,"194249",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,332.208070174417
"213",213,"194249",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,174.954338599912
"214",214,"194249",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,205.087736123004
"215",215,"194249",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,271.240296405908
"216",216,"194249",2019,"post","11",TRUE,"bog",1,1,"Used",10,254.471855551446
"217",217,"194249",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,364.960160218439
"218",218,"194249",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,328.810021593709
"219",219,"194249",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,298.97222423409
"220",220,"194249",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,344.042765521614
"221",221,"194249",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,137.288686785539
"222",222,"194249",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,637.987142985036
"223",223,"194249",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,406.259448404251
"224",224,"194249",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,143.951859470219
"225",225,"194249",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,232.394119839094
"226",226,"194249",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,140.798513640845
"227",227,"40235",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,56.8799967535258
"228",228,"40235",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,179.027486014909
"229",229,"40235",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,171.892015798193
"230",230,"40235",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,265.029166067453
"231",231,"40235",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,224.096571327291
"232",232,"40235",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,472.739454895651
"233",233,"40235",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,467.219517540158
"234",234,"40235",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,415.755324944631
"235",235,"40235",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,478.391309593513
"236",236,"BARN07",2019,"post","14",TRUE,"freshwater",1,1,"Used",10,540.526304059829
"237",237,"BARN07",2019,"post","18",TRUE,"saltmarsh_coastal",1,1,"Used",10,546.462536184411
"238",238,"BARN07",2019,"post","18",TRUE,"saltmarsh_coastal",1,1,"Used",10,578.958937656202
"239",239,"BARN07",2019,"post","18",TRUE,"saltmarsh_coastal",1,1,"Used",10,577.733392832105
"240",240,"BARN07",2019,"post","18",TRUE,"saltmarsh_coastal",1,1,"Used",10,607.26477969732
"241",241,"BARN07",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,352.12801453995
"242",242,"BARN07",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,357.947044892083
"243",243,"BARN07",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,743.726539204566
"244",244,"BARN07",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,678.317157201553
"245",245,"BARN07",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,639.167344717241
"246",246,"BARN07",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,744.996503699542
"247",247,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,61.2471587708419
"248",248,"BARN09",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,448.776955863236
"249",249,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,300.139104866803
"250",250,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,120.324287575531
"251",251,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,65.8334835348383
"252",252,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,155.041880027908
"253",253,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,98.9960548093138
"254",254,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,244.288018434961
"255",255,"BARN09",2019,"post","16",TRUE,"saltmarsh_coastal",1,1,"Used",10,1443.81424501876
"256",256,"BARN09",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,961.709544316295
"257",257,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,819.037201865806
"258",258,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,655.095695435048
"259",259,"BARN09",2019,"post","16",TRUE,"saltmarsh_coastal",1,1,"Used",10,438.874333596375
"260",260,"BARN09",2019,"post","16",TRUE,"saltmarsh_coastal",1,1,"Used",10,760.452230006197
"261",261,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,826.506476945264
"262",262,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,32.7283039184494
"263",263,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,90.9254259713187
"264",264,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,176.383173414594
"265",265,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,123.678661595464
"266",266,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,149.531153633136
"267",267,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,70.1302368835056
"268",268,"BARN09",2019,"post","16",TRUE,"saltmarsh_coastal",1,1,"Used",10,1652.98143968258
"269",269,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,1804.67295726338
"270",270,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,1900.77956478341
"271",271,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,108.414855963628
"272",272,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,126.736225538013
"273",273,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,133.327737105488
"274",274,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,728.764573620804
"275",275,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,60.5286621732022
"276",276,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,92.8026989195022
"277",277,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,60.6699919425994
"278",278,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,61.4906301279557
"279",279,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,153.113294459056
"280",280,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,71.1561271303989
"281",281,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,32.94680478865
"282",282,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,305.524094536673
"283",283,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,278.661265973412
"284",284,"BARN09",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,1363.05567863972
"285",285,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,289.377807759166
"286",286,"BARN09",2019,"post","16",TRUE,"saltmarsh_coastal",1,1,"Used",10,348.992708186329
"287",287,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,803.817369156787
"288",288,"BARN09",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,176.968757760024
