"","Device_ID","Winter","PP_Shoot","Habitat","case_","ceh_broad","Case","weight","Used","weight2","gwf_dist_points"
"6341","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,153.129977965123
"6342","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,4286.92713226888
"6343","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,485.32468625067
"6344","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1559.85248337673
"6345","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,412.671445701715
"6346","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,589.156500605441
"6347","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2670.22549341107
"6348","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1015.3354802033
"6349","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,417.921800629922
"6350","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,62.0713493377324
"6351","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,794.800946252108
"6352","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,457.435629426571
"6353","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1218.81028177103
"6354","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,823.381392552699
"6355","171211",2018,"post","2",FALSE,"other",0,1,"Avail",1,1169.69155382636
"6356","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,220.929335027396
"6357","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,3867.0207989829
"6358","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1059.19645974417
"6359","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,3825.19874237914
"6360","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,110.789857384191
"6361","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,121.532396875087
"6362","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1393.60290081403
"6363","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,660.348290601284
"6364","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2181.61953639187
"6365","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,620.434147545413
"6366","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,538.320638329452
"6367","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,648.158288220262
"6368","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,380.34309488733
"6369","17674",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,586.250172577244
"6370","17674",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,1611.31564779433
"6371","17674",2018,"post","check",FALSE,"other",0,1,"Avail",1,863.492838642826
"6372","17674",2018,"post","1",FALSE,"other",0,1,"Avail",1,468.288206281969
"6373","17674",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,144.731161708263
"6374","17674",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1274.19905329666
"6375","17674",2018,"post","3",FALSE,"arable_hort",0,1,"Avail",1,223.914249006285
"6376","17674",2018,"post","check",FALSE,"other",0,1,"Avail",1,1041.0519883597
"6377","17674",2018,"post","check",FALSE,"other",0,1,"Avail",1,339.2956832019
"6378","17674",2018,"post","check",FALSE,"other",0,1,"Avail",1,1865.90831597181
"6379","17674",2018,"post","check",FALSE,"other",0,1,"Avail",1,3375.24993014794
"6380","17674",2018,"post","11",FALSE,"bog",0,1,"Avail",1,458.167527529107
"6381","17674",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,285.459207196393
"6382","17674",2018,"post","11",FALSE,"bog",0,1,"Avail",1,2079.38941523307
"6383","17674",2018,"post","2",FALSE,"other",0,1,"Avail",1,24.0411305612166
"6384","17674",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,717.95491724959
"6385","17674",2018,"post","check",FALSE,"other",0,1,"Avail",1,1829.57759177164
"6386","17674",2018,"post","check",FALSE,"other",0,1,"Avail",1,4645.78098581939
"6387","17674",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1383.46909431204
"6388","17674",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1057.01710949467
"6389","17674",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,956.624448246172
"6390","17674",2018,"post","2",FALSE,"other",0,1,"Avail",1,656.383746366215
"6391","17674",2018,"post","1",FALSE,"other",0,1,"Avail",1,196.311393659255
"6392","17674",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,37.8481842313128
"6393","17674",2018,"post","check",FALSE,"other",0,1,"Avail",1,606.766299384242
"6394","17674",2018,"post","14",FALSE,"freshwater",0,1,"Avail",1,841.367187181896
"6395","17674",2018,"post","check",FALSE,"other",0,1,"Avail",1,2207.48552127243
"6396","17674",2018,"post","check",FALSE,"other",0,1,"Avail",1,1642.92826402584
"6397","17674",2018,"post","19",FALSE,"saltmarsh_coastal",0,1,"Avail",1,455.552740871247
"6398","17674",2018,"post","check",FALSE,"other",0,1,"Avail",1,2917.32889122812
"6399","17674",2018,"post","check",FALSE,"other",0,1,"Avail",1,1962.79382996258
